Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
12,60,RL,85.0,11924,Pave,1,0,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,4,2,PConc,5.0,3.0,1.0,6.0,998,1.0,0,177,1175,GasA,4,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,3,2005.0,3.0,3,736,3.0,3.0,Y,147,21,0,0,0,0,0,7,2006,New,Partial,345000
14,20,RL,91.0,10652,Pave,1,0,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,3,2,PConc,4.0,3.0,3.0,1.0,0,1.0,0,1494,1494,GasA,4,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,5,2006.0,2.0,3,840,3.0,3.0,Y,160,33,0,0,0,0,0,8,2007,New,Partial,279500
16,45,RM,51.0,6120,Pave,0,0,AllPub,Corner,0,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,832,832,GasA,4,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,1,1991.0,1.0,2,576,3.0,3.0,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,132000
19,20,RL,66.0,13695,Pave,0,0,AllPub,Inside,0,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,3.0,3.0,1.0,6.0,646,1.0,0,468,1114,GasA,4,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,1,2004.0,1.0,2,576,3.0,3.0,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,159000
20,20,RL,70.0,7560,Pave,0,0,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,2,2,CBlock,3.0,3.0,1.0,2.0,504,1.0,0,525,1029,GasA,2,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,5,1958.0,1.0,1,294,3.0,3.0,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000
21,60,RL,101.0,14215,Pave,1,0,AllPub,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,3,2,PConc,5.0,3.0,3.0,1.0,0,1.0,0,1158,1158,GasA,4,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,3,2005.0,2.0,3,853,3.0,3.0,Y,240,154,0,0,0,0,0,11,2006,New,Partial,325300
22,45,RM,57.0,7449,Pave,0,1,AllPub,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3.0,3.0,1.0,1.0,0,1.0,0,637,637,GasA,4,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,5,1930.0,1.0,1,280,3.0,3.0,N,0,0,205,0,0,0,0,6,2007,WD,Normal,139400
23,20,RL,75.0,9742,Pave,0,0,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,3,2,PConc,4.0,3.0,1.0,1.0,0,1.0,0,1777,1777,GasA,4,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,5,2002.0,2.0,2,534,3.0,3.0,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,230000
24,120,RM,44.0,4224,Pave,0,0,AllPub,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,2,PConc,4.0,3.0,1.0,6.0,840,1.0,0,200,1040,GasA,2,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,5,1976.0,1.0,2,572,3.0,3.0,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,129900
26,20,RL,110.0,14230,Pave,0,0,AllPub,Corner,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,3,2,PConc,4.0,3.0,1.0,1.0,0,1.0,0,1566,1566,GasA,4,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,5,2007.0,2.0,3,890,3.0,3.0,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,256300
27,20,RL,60.0,7200,Pave,0,0,AllPub,Corner,0,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3.0,3.0,2.0,4.0,234,3.0,486,180,900,GasA,2,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,1,2005.0,1.0,2,576,3.0,3.0,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,134800
28,20,RL,98.0,11478,Pave,0,0,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,3,2,PConc,5.0,3.0,1.0,6.0,1218,1.0,0,486,1704,GasA,4,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,5,2008.0,2.0,3,772,3.0,3.0,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,306000
29,20,RL,47.0,16321,Pave,1,0,AllPub,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3.0,3.0,4.0,4.0,1277,1.0,0,207,1484,GasA,2,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,5,1957.0,2.0,1,319,3.0,3.0,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,207500
30,30,RM,60.0,6324,Pave,1,0,AllPub,Inside,0,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,520,520,GasA,1,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,1,1920.0,1.0,1,240,2.0,3.0,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,68500
31,70,C (all),50.0,8500,Pave,0,0,AllPub,Inside,0,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,2,1,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,649,649,GasA,2,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,1,1920.0,1.0,1,250,3.0,2.0,N,0,54,172,0,0,0,0,7,2008,WD,Normal,40000
33,20,RL,85.0,11049,Pave,0,0,AllPub,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5.0,3.0,3.0,1.0,0,1.0,0,1234,1234,GasA,4,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,5,2007.0,2.0,2,484,3.0,3.0,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,179900
34,20,RL,70.0,10552,Pave,1,0,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,2,2,CBlock,3.0,3.0,1.0,3.0,1018,1.0,0,380,1398,GasA,3,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,5,1959.0,2.0,2,447,3.0,3.0,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,165500
35,120,RL,60.0,7313,Pave,0,0,AllPub,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,4,2,PConc,5.0,3.0,1.0,6.0,1153,1.0,0,408,1561,GasA,4,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,5,2005.0,3.0,2,556,3.0,3.0,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,277500
36,60,RL,108.0,13418,Pave,0,0,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,3,2,PConc,5.0,3.0,3.0,1.0,0,1.0,0,1117,1117,GasA,4,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,3,2004.0,3.0,3,691,3.0,3.0,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,309000
37,20,RL,112.0,10859,Pave,0,0,AllPub,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4.0,3.0,1.0,1.0,0,1.0,0,1097,1097,GasA,4,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,5,1995.0,1.0,2,672,3.0,3.0,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,145000
38,20,RL,74.0,8532,Pave,0,0,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,2,2,CBlock,3.0,3.0,1.0,3.0,1213,1.0,0,84,1297,GasA,3,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,5,1954.0,3.0,2,498,3.0,3.0,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,153000
39,20,RL,68.0,7922,Pave,0,0,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3.0,3.0,1.0,6.0,731,1.0,0,326,1057,GasA,2,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,1,1953.0,1.0,1,246,3.0,3.0,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000
41,20,RL,84.0,8658,Pave,0,0,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,2,2,CBlock,3.0,3.0,1.0,3.0,643,1.0,0,445,1088,GasA,4,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,5,1965.0,2.0,2,440,3.0,3.0,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000
42,20,RL,115.0,16905,Pave,0,0,AllPub,Inside,0,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3.0,3.0,4.0,4.0,967,1.0,0,383,1350,GasA,3,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,5,1959.0,2.0,1,308,3.0,3.0,P,0,104,0,0,0,0,0,7,2007,WD,Normal,170000
45,20,RL,70.0,7945,Pave,0,0,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,2,2,CBlock,3.0,3.0,1.0,5.0,179,4.0,506,465,1150,GasA,4,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,5,1959.0,2.0,1,300,3.0,3.0,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,141000
46,120,RL,61.0,7658,Pave,0,0,AllPub,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,4,2,PConc,5.0,3.0,1.0,6.0,456,1.0,0,1296,1752,GasA,4,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,5,2005.0,2.0,2,576,3.0,3.0,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,319900
47,50,RL,48.0,12822,Pave,1,0,AllPub,CulDSac,0,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5.0,3.0,1.0,6.0,1351,1.0,0,83,1434,GasA,4,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,5,2003.0,2.0,2,670,3.0,3.0,Y,168,43,0,0,198,0,0,8,2009,WD,Abnorml,239686
48,20,FV,84.0,11096,Pave,0,0,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4.0,3.0,3.0,6.0,24,1.0,0,1632,1656,GasA,4,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,5,2006.0,2.0,3,826,3.0,3.0,Y,0,146,0,0,0,0,0,7,2007,WD,Normal,249700
50,20,RL,66.0,7742,Pave,0,0,AllPub,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3.0,3.0,1.0,4.0,763,1.0,0,192,955,GasA,4,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,5,1966.0,1.0,1,386,3.0,3.0,Y,0,0,0,0,0,0,0,1,2007,WD,Normal,127000
52,50,RM,52.0,6240,Pave,0,0,AllPub,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3.0,3.0,1.0,1.0,0,1.0,0,816,816,GasA,2,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,1,1985.0,1.0,2,528,3.0,3.0,Y,112,0,0,0,0,0,400,9,2006,WD,Normal,114500
53,90,RM,110.0,8472,Grvl,2,1,AllPub,Corner,1,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,2,CBlock,4.0,3.0,4.0,2.0,104,6.0,712,0,816,GasA,2,N,SBrkr,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,2,1963.0,1.0,2,516,3.0,3.0,Y,106,0,0,0,0,0,0,5,2010,WD,Normal,110000
54,20,RL,68.0,50271,Pave,1,3,AllPub,Inside,0,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,3,2,CBlock,5.0,3.0,4.0,6.0,1810,1.0,0,32,1842,GasA,3,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,5,1981.0,3.0,3,894,3.0,3.0,Y,857,72,0,0,0,0,0,11,2006,WD,Normal,385000
55,80,RL,60.0,7134,Pave,0,1,AllPub,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3.0,3.0,1.0,5.0,384,1.0,0,0,384,GasA,2,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,1,1962.0,1.0,2,572,3.0,3.0,Y,0,50,0,0,0,0,0,2,2007,WD,Normal,130000
56,20,RL,100.0,10175,Pave,1,0,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,2,2,CBlock,3.0,3.0,1.0,4.0,490,1.0,0,935,1425,GasA,3,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,5,1964.0,2.0,2,576,3.0,3.0,Y,0,0,0,407,0,0,0,7,2008,WD,Normal,180500
57,160,FV,24.0,2645,Pave,0,0,AllPub,Inside,0,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,3,2,PConc,4.0,3.0,1.0,6.0,649,1.0,0,321,970,GasA,4,Y,SBrkr,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,5,1999.0,3.0,2,480,3.0,3.0,Y,115,0,0,0,0,0,0,8,2009,WD,Abnorml,172500
58,60,RL,89.0,11645,Pave,1,0,AllPub,Corner,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4.0,3.0,1.0,1.0,0,1.0,0,860,860,GasA,4,Y,SBrkr,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,5,2004.0,2.0,2,565,3.0,3.0,Y,0,70,0,0,0,0,0,8,2006,WD,Normal,196500
59,60,RL,66.0,13682,Pave,2,2,AllPub,CulDSac,0,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,4,2,PConc,5.0,3.0,4.0,1.0,0,1.0,0,1410,1410,GasA,4,Y,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,3,2006.0,3.0,3,641,3.0,3.0,Y,192,0,37,0,0,0,0,10,2006,New,Partial,438780
60,20,RL,60.0,7200,Pave,0,1,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3.0,3.0,3.0,5.0,632,1.0,0,148,780,GasA,4,Y,SBrkr,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,1,1973.0,1.0,1,352,3.0,3.0,Y,196,0,0,0,0,0,0,1,2008,WD,Normal,124900
61,20,RL,63.0,13072,Pave,0,0,AllPub,Inside,0,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4.0,3.0,1.0,5.0,941,1.0,0,217,1158,GasA,4,Y,SBrkr,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,1,2006.0,1.0,2,576,3.0,3.0,Y,0,50,0,0,0,0,0,5,2006,New,Partial,158000
62,75,RM,60.0,7200,Pave,0,0,AllPub,Inside,0,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3.0,2.0,1.0,1.0,0,1.0,0,530,530,GasA,2,N,SBrkr,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,1,1935.0,1.0,1,288,3.0,3.0,N,0,0,144,0,0,0,0,3,2007,WD,Normal,101000
63,120,RL,44.0,6442,Pave,1,0,AllPub,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,3,2,PConc,4.0,4.0,2.0,6.0,24,1.0,0,1346,1370,GasA,4,Y,SBrkr,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,5,2006.0,2.0,2,484,3.0,3.0,Y,120,49,0,0,0,0,0,10,2007,WD,Normal,202500
64,70,RM,50.0,10300,Pave,1,1,AllPub,Inside,0,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,2,2,BrkTil,3.0,3.0,1.0,1.0,0,1.0,0,576,576,GasA,3,Y,SBrkr,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,1,1990.0,1.0,2,480,3.0,3.0,Y,12,11,64,0,0,0,0,4,2010,WD,Normal,140000
66,60,RL,76.0,9591,Pave,0,0,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,344.0,3,2,PConc,5.0,3.0,3.0,1.0,0,1.0,0,1143,1143,GasA,4,Y,SBrkr,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,Typ,1,3,2004.0,2.0,3,852,3.0,3.0,Y,192,151,0,0,0,0,0,10,2007,WD,Normal,317000
68,20,RL,72.0,10665,Pave,1,0,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,167.0,3,2,PConc,4.0,3.0,3.0,6.0,1013,1.0,0,440,1453,GasA,4,Y,SBrkr,1479,0,0,1479,1,0,2,0,3,1,Gd,7,Typ,0,5,2003.0,2.0,2,558,3.0,3.0,Y,144,29,0,0,0,0,0,6,2007,WD,Normal,226000
